metric,value,bestValue,repo
duplicated_lines_density,2.7,False,energy-py-linear
reliability_rating,3.0,False,energy-py-linear
reliability_remediation_effort,57,False,energy-py-linear
security_rating,1.0,True,energy-py-linear
security_remediation_effort,0,True,energy-py-linear
sqale_index,630,False,energy-py-linear
sqale_rating,1.0,True,energy-py-linear
duplicated_lines_density,39.3,False,energyRt
reliability_rating,5.0,False,energyRt
reliability_remediation_effort,3405,False,energyRt
security_rating,1.0,True,energyRt
security_remediation_effort,0,True,energyRt
sqale_index,15568,False,energyRt
sqale_rating,1.0,True,energyRt
duplicated_lines_density,75.5,False,energysim
reliability_rating,4.0,False,energysim
reliability_remediation_effort,373,False,energysim
security_rating,1.0,True,energysim
security_remediation_effort,0,True,energysim
sqale_index,12803,False,energysim
sqale_rating,1.0,True,energysim
duplicated_lines_density,2.3,False,enflow
reliability_rating,5.0,False,enflow
reliability_remediation_effort,35,False,enflow
security_rating,1.0,True,enflow
security_remediation_effort,0,True,enflow
sqale_index,1191,False,enflow
sqale_rating,1.0,True,enflow
duplicated_lines_density,8.9,False,eps-us
reliability_rating,1.0,True,eps-us
reliability_remediation_effort,0,True,eps-us
security_rating,1.0,True,eps-us
security_remediation_effort,0,True,eps-us
sqale_index,17200,False,eps-us
sqale_rating,2.0,False,eps-us
duplicated_lines_density,2.4,False,etengine
reliability_rating,5.0,False,etengine
reliability_remediation_effort,1897,False,etengine
security_rating,1.0,True,etengine
security_remediation_effort,0,True,etengine
sqale_index,17796,False,etengine
sqale_rating,1.0,True,etengine
duplicated_lines_density,0.3,False,etmodel
reliability_rating,5.0,False,etmodel
reliability_remediation_effort,389,False,etmodel
security_rating,1.0,True,etmodel
security_remediation_effort,0,True,etmodel
sqale_index,2571,False,etmodel
sqale_rating,1.0,True,etmodel
duplicated_lines_density,2.8,False,exerpy
reliability_rating,5.0,False,exerpy
reliability_remediation_effort,42,False,exerpy
security_rating,1.0,True,exerpy
security_remediation_effort,0,True,exerpy
sqale_index,3480,False,exerpy
sqale_rating,1.0,True,exerpy
duplicated_lines_density,0.0,True,fame-core
reliability_rating,2.0,False,fame-core
reliability_remediation_effort,5,False,fame-core
security_rating,1.0,True,fame-core
security_remediation_effort,0,True,fame-core
sqale_index,2069,False,fame-core
sqale_rating,1.0,True,fame-core
duplicated_lines_density,0.0,True,ficus
reliability_rating,3.0,False,ficus
reliability_remediation_effort,15,False,ficus
security_rating,1.0,True,ficus
security_remediation_effort,0,True,ficus
sqale_index,399,False,ficus
sqale_rating,1.0,True,ficus
duplicated_lines_density,0.0,True,flextool
reliability_rating,5.0,False,flextool
reliability_remediation_effort,14,False,flextool
security_rating,1.0,True,flextool
security_remediation_effort,0,True,flextool
sqale_index,1435,False,flextool
sqale_rating,1.0,True,flextool
duplicated_lines_density,3.3,False,flixopt
reliability_rating,3.0,False,flixopt
reliability_remediation_effort,135,False,flixopt
security_rating,1.0,True,flixopt
security_remediation_effort,0,True,flixopt
sqale_index,1049,False,flixopt
sqale_rating,1.0,True,flixopt
duplicated_lines_density,0.7,False,friendlysam
reliability_rating,3.0,False,friendlysam
reliability_remediation_effort,20,False,friendlysam
security_rating,1.0,True,friendlysam
security_remediation_effort,0,True,friendlysam
sqale_index,223,False,friendlysam
sqale_rating,1.0,True,friendlysam
duplicated_lines_density,3.8,False,global-fossil-fuel-supply-chain
reliability_rating,5.0,False,global-fossil-fuel-supply-chain
reliability_remediation_effort,46,False,global-fossil-fuel-supply-chain
security_rating,1.0,True,global-fossil-fuel-supply-chain
security_remediation_effort,0,True,global-fossil-fuel-supply-chain
sqale_index,3481,False,global-fossil-fuel-supply-chain
sqale_rating,1.0,True,global-fossil-fuel-supply-chain
duplicated_lines_density,4.1,False,grid2op
reliability_rating,3.0,False,grid2op
reliability_remediation_effort,2572,False,grid2op
security_rating,1.0,True,grid2op
security_remediation_effort,0,True,grid2op
sqale_index,20523,False,grid2op
sqale_rating,1.0,True,grid2op
duplicated_lines_density,0.8,False,gridfm-graphkit
reliability_rating,5.0,False,gridfm-graphkit
reliability_remediation_effort,60,False,gridfm-graphkit
security_rating,1.0,True,gridfm-graphkit
security_remediation_effort,0,True,gridfm-graphkit
sqale_index,258,False,gridfm-graphkit
sqale_rating,1.0,True,gridfm-graphkit
duplicated_lines_density,13.7,False,gridpath
reliability_rating,5.0,False,gridpath
reliability_remediation_effort,52,False,gridpath
security_rating,1.0,True,gridpath
security_remediation_effort,0,True,gridpath
sqale_index,25208,False,gridpath
sqale_rating,1.0,True,gridpath
duplicated_lines_density,43.4,False,grimsel
reliability_rating,5.0,False,grimsel
reliability_remediation_effort,638,False,grimsel
security_rating,1.0,True,grimsel
security_remediation_effort,0,True,grimsel
sqale_index,16503,False,grimsel
sqale_rating,1.0,True,grimsel
duplicated_lines_density,44.9,False,idea
reliability_rating,5.0,False,idea
reliability_remediation_effort,283,False,idea
security_rating,1.0,True,idea
security_remediation_effort,0,True,idea
sqale_index,5525,False,idea
sqale_rating,1.0,True,idea
duplicated_lines_density,0.5,False,inertia
reliability_rating,5.0,False,inertia
reliability_remediation_effort,541,False,inertia
security_rating,1.0,True,inertia
