id,html_url,owner,archived,stargazers_count,forks_count,language,license,created_at,updated_at,commit_stats.dds,commit_stats.total_committers,homepage,last_month_downloads,dependent_repos_count,latest_release_published_at
iesopt_jl,https://github.com/ait-energy/IESopt.jl,ait-energy,False,20.0,7.0,Julia,mit,2023-09-19T13:27:11.000Z,2025-09-12T08:16:54.000Z,,,,19.0,0.0,2025-06-24
inertia,https://github.com/G-PST/inertia,G-PST,False,0.0,0.0,Go,bsd-3-clause,2023-06-21T18:59:43.000Z,2023-07-14T22:01:20.000Z,,,https://g-pst.github.io/inertia/,0.0,0.0,2023-11-03
interactive_power_flow_(ipf),https://github.com/mbheinen/bpa-ipf-tsp,mbheinen,False,13.0,17.0,Fortran,mit,2020-01-04T04:23:30.000Z,2025-07-02T03:30:57.000Z,,,,0.0,0.0,
inve2st,https://github.com/CSenkpiel/Inve2st,CSenkpiel,False,3.0,1.0,Python,agpl-3.0,2020-03-02T14:24:46.000Z,2024-01-30T14:27:54.000Z,,,,0.0,0.0,
irena_flextool,https://github.com/irena-flextool/flextool,irena-flextool,False,26.0,8.0,AMPL,other,2022-06-28T13:11:41.000Z,2025-09-05T07:14:07.000Z,0.3125,9.0,https://www.irena.org/energytransition/Energy-System-Models-and-Data/IRENA-FlexTool,0.0,0.0,
irpopt,https://github.com/IRPsim/IRPopt,IRPsim,False,2.0,1.0,GAMS,,2022-03-01T12:14:38.000Z,2023-11-25T07:48:04.000Z,,,,0.0,0.0,
joulia_jl,https://github.com/JuliaEnergy/Joulia.jl,JuliaEnergy,False,35.0,7.0,Julia,mit,2019-03-24T17:08:17.000Z,2025-06-08T02:06:53.000Z,0.0,1.0,,0.0,0.0,
jpong,https://github.com/RahmanKhorramfar91/JPoNG,RahmanKhorramfar91,False,1.0,0.0,Python,mit,2023-01-14T23:13:45.000Z,2024-12-10T05:49:52.000Z,,,,0.0,0.0,
leelo,https://github.com/simjunky/Leelo,simjunky,False,0.0,1.0,Julia,mit,2022-02-24T13:42:51.000Z,2022-08-28T22:39:54.000Z,,,https://simjunky.github.io/Leelo/,0.0,0.0,
lego,https://github.com/IEE-TUGraz/LEGO,IEE-TUGraz,False,13.0,7.0,GAMS,mit,2022-04-13T17:14:02.000Z,2025-06-06T04:29:44.000Z,,,,0.0,0.0,
lemlab,https://github.com/tum-ewk/lemlab,tum-ewk,False,26.0,19.0,Python,gpl-3.0,2021-05-28T13:55:35.000Z,2024-08-18T17:13:59.000Z,0.4375,5.0,https://lemlab.readthedocs.io,0.0,0.0,
macroenergy_jl,https://github.com/macroenergy/MacroEnergy.jl,macroenergy,False,24.0,23.0,Julia,mit,2023-10-25T13:41:42.000Z,2025-09-16T19:02:42.000Z,,,https://macroenergy.github.io/MacroEnergy.jl/,6.0,0.0,2025-08-01
mafrit,https://github.com/NREL/MAFRIT,NREL,False,6.0,8.0,MATLAB,bsd-3-clause-clear,2020-03-18T19:49:45.000Z,2024-11-15T03:52:15.000Z,,,,0.0,0.0,
match_model,https://github.com/pencleanenergy/MATCH-model,pencleanenergy,False,29.0,10.0,Python,agpl-3.0,2020-09-30T16:28:12.000Z,2025-06-27T17:30:08.000Z,,,,0.0,0.0,
matpower,https://github.com/MATPOWER/matpower,MATPOWER,False,496.0,165.0,MATLAB,other,2016-12-16T19:12:30.000Z,2025-09-10T11:53:16.000Z,0.039247096515819035,18.0,https://matpower.org,0.0,0.0,
medea,https://github.com/inwe-boku/medea,inwe-boku,False,4.0,5.0,GAMS,mit,2019-04-03T11:04:11.000Z,2024-05-17T06:43:52.000Z,,,,0.0,0.0,
mesmo,https://github.com/mesmo-dev/mesmo,mesmo-dev,False,56.0,14.0,Python,mit,2019-08-07T21:30:17.000Z,2025-06-08T08:18:59.000Z,0.09523809523809523,5.0,https://mesmo-dev.github.io/mesmo,0.0,0.0,2021-06-02
messpy,https://github.com/pielube/MESSpy,pielube,False,34.0,10.0,Python,,2022-02-25T15:33:17.000Z,2025-05-25T04:19:39.000Z,,,,0.0,0.0,
microgrids_py,https://github.com/Microgrids-X/Microgrids.py,Microgrids-X,False,14.0,6.0,Python,mit,2022-07-21T15:16:19.000Z,2025-03-31T13:59:29.000Z,0.0,1.0,,23.0,0.0,2023-10-17
microgridspy,https://github.com/MicroGridsPy/MicroGridsPy,MicroGridsPy,False,37.0,35.0,Python,eupl-1.2,2018-01-23T02:21:57.000Z,2025-08-01T20:52:06.000Z,0.4672897196261683,14.0,,0.0,0.0,
minigrid_jcc,https://github.com/Autarky-Power/Minigrid-JCC,Autarky-Power,False,0.0,0.0,Julia,mit,2023-08-31T13:45:44.000Z,2024-02-27T08:24:51.000Z,,,,0.0,0.0,
minpower,https://github.com/adamgreenhall/minpower,adamgreenhall,False,72.0,34.0,Python,,2011-04-04T18:50:48.000Z,2025-06-06T15:05:27.000Z,0.0,1.0,adamgreenhall.github.io/minpower,39.0,2.0,2021-07-21
modpowersystems,https://github.com/ModPowerSystems/ModPowerSystems,ModPowerSystems,False,2.0,3.0,Modelica,,2020-01-31T09:24:28.000Z,2025-06-18T09:36:46.000Z,,,,0.0,0.0,
mosaik,https://gitlab.com/mosaik/mosaik,mosaik,False,16.0,11.0,,lgpl-2.1,2020-02-14T20:57:17.429Z,2025-09-11T12:08:22.569Z,,,,0.0,0.0,
most,https://github.com/MATPOWER/most,MATPOWER,False,34.0,14.0,MATLAB,other,2016-12-16T19:10:43.000Z,2025-07-12T21:36:41.000Z,0.0,1.0,https://matpower.org/,0.0,0.0,
multi_vector_simulator,https://github.com/rl-institut/multi-vector-simulator,rl-institut,False,23.0,11.0,Python,gpl-2.0,2019-07-29T14:57:11.000Z,2025-07-12T14:31:56.000Z,0.7671166827386693,19.0,,202.0,1.0,2024-05-03
muse_os,https://github.com/EnergySystemsModellingLab/MUSE_OS,EnergySystemsModellingLab,False,24.0,9.0,Python,gpl-3.0,2022-03-10T16:55:09.000Z,2025-08-27T09:09:46.000Z,0.8247213779128673,27.0,https://muse-os.readthedocs.io/en/latest/,0.0,0.0,2025-08-27
nemo,https://github.com/bje-/NEMO,bje-,False,49.0,18.0,Python,gpl-3.0,2015-11-23T00:43:29.000Z,2025-08-30T12:12:04.000Z,0.3216232586311326,4.0,,0.0,0.0,
nemo_(sei),https://github.com/sei-international/NemoMod.jl,sei-international,False,42.0,17.0,Julia,other,2018-06-22T06:49:34.000Z,2025-05-19T11:26:29.000Z,0.196078431372549,2.0,,0.0,0.0,
nempy,https://github.com/UNSW-CEEM/nempy,UNSW-CEEM,False,63.0,33.0,Python,bsd-3-clause,2020-04-14T04:36:37.000Z,2025-09-06T13:10:33.000Z,0.08549222797927458,6.0,,2343.0,1.0,2025-03-07
oemof_solph,https://github.com/oemof/oemof-solph,oemof,False,344.0,140.0,Python,mit,2015-11-24T13:38:22.000Z,2025-09-14T23:31:04.000Z,0.7066859530697525,72.0,https://oemof.org,5936.0,23.0,2025-06-06
oemof_thermal,https://github.com/oemof/oemof-thermal,oemof,False,32.0,13.0,Python,mit,2016-01-11T10:29:40.000Z,2025-07-19T14:25:34.000Z,0.8108365019011406,14.0,https://oemof.org,0.0,0.0,2024-12-13
omegalpes,https://gricad-gitlab.univ-grenoble-alpes.fr/omegalpes/omegalpes,omegalpes,,0.0,2.0,,apache-2.0,2018-10-24T09:54:08.003Z,2025-08-06T18:46:14.282Z,,,,0.0,0.0,
