username,classification,company,location,repos
AlOussama,unknown,,DEU,"gh:anl-ceeesa/unitcommitment.jl,gh:assume-framework/assume,gh:curent/andes,gh:electa-git/flexplan.jl,gh:energy-modelling-toolkit/dispa-set,gh:genxproject/genx.jl,gh:juliaenergy/powerdynamics.jl,gh:lanl-ansi/powermodels.jl,gh:natlabrockies/reeds-2.0,gh:nrel-sienna/powersimulationsdynamics.jl,gh:pypsa/pypsa,gh:youngfaithful/capacityexpansion.jl"
AlannLiu,unknown,,,gh:genxproject/genx.jl
Alanw-git,unknown,,,"gh:anl-ceeesa/unitcommitment.jl,gh:fzj-iek3-vsa/fine,gh:genxproject/genx.jl,gh:grid-parity-exchange/egret,gh:grid2op/grid2op,gh:lanl-ansi/powermodels.jl,gh:natlabrockies/rodeo,gh:psrenergy/sddpdso.jl"
AlarmBrust,unknown,,,gh:e2niee/pandapower
Alas89,unknown,,DEU,gh:akkudoktor-eos/eos
Albanbrooke,unknown,,,gh:pypsa/pypsa
Albert-123,unknown,,,gh:curent/andes
Albert-D,unknown,,,gh:e2niee/pandapower
Albizzian,industry,,,gh:curent/andes
AleOnori98,academic,,,gh:microgridspy/microgridspy
AleXaend,unknown,,,gh:akkudoktor-eos/eos
AleandroD,unknown,,,gh:akkudoktor-eos/eos
Alejandra-CB,unknown,,,"gh:lanl-ansi/powermodels.jl,gh:openipsl/openipsl"
AlejandroGNE,utility,,,"gh:genxproject/genx.jl,gh:natlabrockies/reeds-2.0"
AlejoZabala,academic,dlr - institute of networked energy systems,DEU,gh:flexigis/flexigis
AleksandraRoos,unknown,,,"gh:balmorelcommunity/balmorel,gh:etsap-times/times_model"
Alekspal96,unknown,,,gh:etsap-times/times_model
Alematiale,academic,aalborg university,DNK,gh:pielube/messpy
AlemsegedWeldeyesus,unknown,,,gh:e2niee/pandapower
Alessandro-Barbieri95,unknown,,,gh:calliope-project/calliope
AlessandroMagnino,academic,politecnico di torino,ITA,gh:uu-er/adopt-net0
AlessandroPampado99,academic,universita di pisa,,gh:pypsa/pypsa
Alex-Neve,industry,,,gh:pypsa/pypsa
AlexBainton,unknown,,,gh:unsw-ceem/nempy
AlexDai001,professional,seu,CHN,gh:grid2op/grid2op
AlexFauduet,unknown,,,gh:antaressimulatorteam/antares_simulator
AlexGuironnetRTE,utility,reseau de transport d'electricite,FRA,gh:grid2op/grid2op
AlexJew,industry,,,gh:oemof/oemof-solph
AlexMIaoPU,academic,,AUS,gh:e2niee/pandapower
AlexNoring,unknown,,,gh:gmlc-dispatches/dispatches
AlexPoiron,unknown,,,gh:dynawo/dynawo
AlexTo,unknown,,,gh:grid2op/grid2op
AlexZhaoZt,professional,ignicore games,,gh:grid2op/grid2op
Alexander233312,unknown,,,gh:ahalev/python-microgrid
AlexanderCkm,unknown,,,gh:akkudoktor-eos/eos
AlexanderFinkbeiner,unknown,,,gh:akkudoktor-eos/eos
AlexanderHobert,academic,bergische universitat wuppertal,DEU,"gh:e2niee/pandapower,gh:oemof/oemof-solph"
AlexanderHoogsteyn,academic,ku leuven,BEL,"gh:lanl-ansi/powermodels.jl,gh:spine-tools/spineopt.jl"
AlexanderSeverinsen,professional,cofactor as,NOR,gh:sanpen/veragrid
AlexanderWirtz,unknown,,,"gh:quintel/etengine,gh:quintel/etmodel,gh:quintel/pyetm"
Alexandertj96,unknown,,,gh:balmorelcommunity/balmorel
AlexandreLab,unknown,,,gh:calliope-project/calliope
AlexandreRozier,utility,reseau de transport d'electricite,FRA,gh:grid2op/grid2op
Alexandrite33,unknown,,,gh:lanl-ansi/powermodels.jl
AlexandruMoraru310,unknown,,,gh:genxproject/genx.jl
AlexiaChen,financial,Jin Rong Jiao Yi Yuan ,CHN,gh:akkudoktor-eos/eos
